요금제명,통신사,요금제유형,데이터제공량,월요금(원),활성여부,
 스K)슬림 1.5GB/150분 ,KT 스카이라이프,LTE,1.5GB,5000,,
 스K)슬림 3GB/300분 ,KT 스카이라이프,LTE,3GB,6900,,
 스K)5G 모두 충분 110GB+ ,KT 스카이라이프,LTE,110GB + 5Mbps,42900,,
 스K)통화 충분 6.5GB ,KT 스카이라이프,LTE,6.5GB,10900,,
 스K)통화 충분 10GB ,KT 스카이라이프,LTE,10GB,13900,,
 스K)데이터 충분 2.2GB+/100분 ,KT 스카이라이프,LTE,2.2GB+1Mbps,11700,,
 스K)데이터 충분 5GB+/100분 ,KT 스카이라이프,LTE,5GB+1Mbps,14300,,
 스K)데이터 충분 15GB+/100분 ,KT 스카이라이프,LTE,15GB+3Mbps,25300,,
 스K)데이터 충분 15GB+/300분 ,KT 스카이라이프,LTE,15GB+3Mbps,27500,,
 스K)스쿨 4GB+ ,KT 스카이라이프,LTE,4GB+400Kbps,10900,,
 스K)스쿨 8GB+ ,KT 스카이라이프,LTE,8GB+400Kbps,14900,,
 스K)스쿨 7GB+(밀리의 서재) ,KT 스카이라이프,LTE,7GB+1Mbps,16200,,
 스K)골드 4.0GB+ ,KT 스카이라이프,LTE,4GB+1Mbps,9900,,
 스K)골드 8.0GB+ ,KT 스카이라이프,LTE,8GB+1Mbps,13900,,
 스K)모두 충분 2.5GB+ ,KT 스카이라이프,LTE,2.5GB+400Kbps,11800,,
 스K)모두 충분 7GB+(밀리의서재) ,KT 스카이라이프,LTE,7GB+1Mbps,16200,,
 스K)모두 충분 11GB+(밀리의서재) ,KT 스카이라이프,LTE,11GB+일2GB+3Mbps,33100,,
,,,,,,
