Column1,Column2,Column3
접점코드,판매점명,통신사
개인)개인-김영준,개인)개인-김영준,KT-VI
개인)개인-유예정,개인)개인-유예정,KT-VI
개인)개인-이명원,개인)개인-이명원,KT-VI
개인)개인-김윤원,개인)개인-김윤원,KT-VI
MCC)원모바일,MCC)원모바일,KT-VI
웅)(주)더케이(김해),웅)(주)더케이(김해),KT-VI
구)(주)셈틀정보통신,구)(주)셈틀정보통신,KT-VI
준)(주)스마일커뮤니티,준)(주)스마일커뮤니티,KT-VI
구)(주)알케이유통(안산),구)(주)알케이유통(안산),KT-VI
민)(주)엠제이통신(인천),민)(주)엠제이통신(인천),KT-VI
열)(주)유어케이스이대지점(마포),열)(주)유어케이스이대지점(마포),KT-VI
열)(주)이루다홀딩스,열)(주)이루다홀딩스,KT-VI
열)(주)지니모바일(위례),열)(주)지니모바일(위례),KT-VI
열)(주)케이씨엘(성남),열)(주)케이씨엘(성남),KT-VI
열)(주)프론티어홀딩스,열)(주)프론티어홀딩스,KT-VI
열)(주)프리엠(광주),열)(주)프리엠(광주),KT-VI
열)(주)핸드폰마을,열)(주)핸드폰마을,KT-VI
열)(주)핸드폰마을2,열)(주)핸드폰마을2,KT-VI
영)(주)현성네트워크(청주),영)(주)현성네트워크(청주),KT-VI
구)010통신(문경),구)010통신(문경),KT-VI
영)1백점만점,영)1백점만점,KT-VI
영)2백점만점(월계),영)2백점만점(월계),KT-VI
구)365정보통신(영월),구)365정보통신(영월),KT-VI
영)3백점만점,영)3백점만점,KT-VI
구)555텔레콤,구)555텔레콤,KT-VI
열)88컴퍼니(용인),열)88컴퍼니(용인),KT-VI
웅)가람모바일,웅)가람모바일,KT-VI
구)가람통신(화성),구)가람통신(화성),KT-VI
민)가온(개봉),민)가온(개봉),KT-VI
열)가온센텀(여수),열)가온센텀(여수),KT-VI
웅)가온컴퍼니 주식회사(김해),웅)가온컴퍼니 주식회사(김해),KT-VI
웅)가재울휴대폰,웅)가재울휴대폰,KT-VI
열)가족통신(용인),열)가족통신(용인),KT-VI
열)감자통신(김해),열)감자통신(김해),KT-VI
열)강남엔젤폰,열)강남엔젤폰,KT-VI
영)강동텔레콤(강변TM),영)강동텔레콤(강변TM),KT-VI
영)강아통신,영)강아통신,KT-VI
구)갤럭시(진주),구)갤럭시(진주),KT-VI
구)거창통신,구)거창통신,KT-VI
구)건강모바일(수유),구)건강모바일(수유),KT-VI
열)겸손통신(광주),열)겸손통신(광주),KT-VI
열)경동텔레콤,열)경동텔레콤,KT-VI
수)경북정보통신(안동),수)경북정보통신(안동),KT-VI
영)경산중고폰거래소,영)경산중고폰거래소,KT-VI
열)고려(포항),열)고려(포항),KT-VI
구)고려모바일(아산),구)고려모바일(아산),KT-VI
웅)고릴라폰,웅)고릴라폰,KT-VI
수)고봉국제무역(용산),수)고봉국제무역(용산),KT-VI
수)고양폰(고양),수)고양폰(고양),KT-VI
준)곡성텔레콤,준)곡성텔레콤,KT-VI
열)곤지암통신,열)곤지암통신,KT-VI
웅)골드텔레콤(수유),웅)골드텔레콤(수유),KT-VI
영)골든밸,영)골든벨,KT-VI
수)골목통신(진주),수)골목통신(진주),KT-VI
영)공짜나라(김천),영)공짜나라(김천),KT-VI
열)광교휴대폰성지모두의폰(수원),열)광교휴대폰성지모두의폰(수원),KT-VI
열)광주통신(광주),열)광주통신(광주),KT-VI
열)광주폰카페,열)광주폰카페,KT-VI
수)광통신,수)광통신,KT-VI
열)광통신(여주),열)광통신(여주),KT-VI
영)광희통신(속초),영)광희통신(속초),KT-VI
영)구구텔레콤(인천),영)구구텔레콤(인천),KT-VI
열)구구폰(용인),열)구구폰(용인),KT-VI
구)구백억(중곡동),구)구백억(중곡동),KT-VI
웅)구찌통신,웅)구찌통신,KT-VI
우)국대폰(어룡역점),우)국대폰(어룡역점),KT-VI
구)굿데이텔레콤,구)굿데이텔레콤,KT-VI
웅)굿모닝(외대점),웅)굿모닝(외대점),KT-VI
구)굿모닝목4점,구)굿모닝목4점,KT-VI
수)굿모닝정보통신,수)굿모닝정보통신,KT-VI
웅)그레이슬,웅)그레이슬,KT-VI
구)그린모바일(부산),구)그린모바일(부산),KT-VI
수)그린서비스센터(공주),수)그린서비스센터(공주),KT-VI
열)그린이동통신(대전),열)그린이동통신(대전),KT-VI
웅)그린정보통신,웅)그린정보통신,KT-VI
수)글로벌모바일,수)글로벌모바일,KT-VI
영)글로벌시스템(안양),영)글로벌시스템(안양),KT-VI
영)글로벌통신,영)글로벌통신,KT-VI
열)글컴정보통신(용인),열)글컴정보통신(용인),KT-VI
열)금동통신(부산),열)금동통신(부산),KT-VI
열)금복통신(광주),열)금복통신(광주),KT-VI
수)금영미래통신(안산),수)금영미래통신(안산),KT-VI
구)금이텔레콤(군산),구)금이텔레콤(군산),KT-VI
영)금정모바일(부산동래),영)금정모바일(부산동래),KT-VI
수)금촌폰,수)금촌폰,KT-VI
구)기준(전주시),구)기준(전주시),KT-VI
영)길상모바일,영)길상모바일,KT-VI
구)길통신(남원),구)길통신(남원),KT-VI
웅)김밥모바일(영등포),웅)김밥모바일(영등포),KT-VI
수)김포아저씨,수)김포아저씨,KT-VI
수)까래통신(공주),수)까래통신(공주),KT-VI
웅)꽁돈버는 머니폰(영천),웅)꽁돈버는 머니폰(영천),KT-VI
수)꽃남통신(구의),수)꽃남통신(구의),KT-VI
구)꿀통신(임실군),구)꿀통신(임실군),KT-VI
웅)끼우칭모바일,웅)끼우칭모바일,KT-VI
영)나누리통신(인천),영)나누리통신(인천),KT-VI
구)나라통신(고창),구)나라통신(고창),KT-VI
웅)나라통신(안산),웅)나라통신(안산),KT-VI
영)나래이동통신,영)나래이동통신,KT-VI
열)나래통신(대전),열)나래통신(대전),KT-VI
수)나린텔레콤(고양),수)나린텔레콤(고양),KT-VI
웅)나무커머스,웅)나무커머스,KT-VI
웅)나바인터내셔널,웅)나바인터내셔널,KT-VI
열)나인모바일(광주),열)나인모바일(광주),KT-VI
구)나인모바일(안산),구)나인모바일(안산),KT-VI
웅)낙원통신,웅)낙원통신,KT-VI
열)남부폰,열)남부폰,KT-VI
