Column1,Column2,Column3
접점코드,판매점명,통신사
L미523660,민)아이폰수리점,LG미디어로그
L미339414,민)스마트정석,LG미디어로그
L미487187,영)선봉모바일1호점,LG미디어로그
L미153208,구)좋은선택주식회사,LG미디어로그
L미416149,준)제이제이,LG미디어로그
L미385625,웅)(주)더케이(김해),LG미디어로그
L미218663,구)(주)셈틀정보통신,LG미디어로그
L미409242,준)(주)스마일커뮤니티,LG미디어로그
L미376144,준)(주)스마일커뮤니티,LG미디어로그
L미649812,구)(주)알케이유통(안산),LG미디어로그
L미401601,열)(주)유어케이스이대지점(마포),LG미디어로그
L미995397,열)(주)이루다홀딩스,LG미디어로그
L미982056,열)(주)이루다홀딩스,LG미디어로그
L미910271,열)(주)이루다홀딩스,LG미디어로그
L미799176,열)(주)이루다홀딩스,LG미디어로그
L미682222,열)(주)이루다홀딩스,LG미디어로그
L미548007,열)(주)이루다홀딩스,LG미디어로그
L미524741,열)(주)이루다홀딩스,LG미디어로그
L미426641,열)(주)이루다홀딩스,LG미디어로그
L미133485,열)(주)이루다홀딩스,LG미디어로그
L미097610,열)(주)이루다홀딩스,LG미디어로그
L미214873,열)(주)지니모바일(위례),LG미디어로그
L미163686,열)(주)케이씨엘(성남),LG미디어로그
L미409157,열)(주)프론티어홀딩스,LG미디어로그
L미712523,열)(주)프리엠(광주),LG미디어로그
L미857205,열)(주)핸드폰마을,LG미디어로그
L미572132,열)(주)핸드폰마을2,LG미디어로그
L미513602,영)(주)현성네트워크(청주),LG미디어로그
L미366567,구)010통신(문경),LG미디어로그
L미539493,영)1백점만점,LG미디어로그
L미761726,영)2백점만점(월계),LG미디어로그
L미974188,구)365정보통신(영월),LG미디어로그
L미225615,영)3백점만점,LG미디어로그
L미545811,구)555텔레콤,LG미디어로그
L미374928,열)88컴퍼니(용인),LG미디어로그
L미398832,수)가등(경산),LG미디어로그
L미990023,웅)가람모바일,LG미디어로그
L미777116,구)가람통신(화성),LG미디어로그
L미780839,민)비피엠통신(파주),LG미디어로그
L미394155,민)가비텔레콤(부천),LG미디어로그
L미608057,민)가온(개봉),LG미디어로그
L미752372,열)가온센텀(여수),LG미디어로그
L미385278,웅)가재울휴대폰,LG미디어로그
L미383770,열)가족통신(용인),LG미디어로그
L미215484,열)가족통신(용인),LG미디어로그
