접점코드,판매점명,실판매POS,통신사,담당영업과장
S텔22040,영)선봉모바일1호점,선봉모바일,후불)텔링크SK,원세영
S텔26046,열)제이에이치모바일(오산),제이에이치모바일,후불)텔링크SK,박종열
S텔26023,구)좋은선택주식회사,좋은선택 주식회사 라페점,후불)텔링크SK,서승구
S텔23647,민)스마트정석,스마트정석,후불)텔링크SK,김민준
S텔26355,민)말랑팩토리,말랑팩토리,후불)텔링크SK,김민준
S텔22842,웅)(주)더케이(김해),(주)더케이,후불)텔링크SK,정선웅
S텔20533,구)(주)셈틀정보통신,(주)셈틀정보통신,후불)텔링크SK,서승구
S텔23371,준)(주)스마일커뮤니티,알뜰통신,후불)텔링크SK,황병준
S텔23367,준)(주)스마일커뮤니티,주식회사스마일커뮤니티,후불)텔링크SK,황병준
S텔23366,준)(주)스마일커뮤니티,주식회사스마일커뮤니티착한통신,후불)텔링크SK,황병준
S텔23269,준)(주)스마일커뮤니티,휴대폰천하통일,후불)텔링크SK,황병준
S텔26443,준)(주)스마일커뮤니티,휴대폰성지당곡점,후불)텔링크SK,황병준
S텔21207,구)(주)알케이유통(안산),주식회사 알케이유통,후불)텔링크SK,서승구
S텔25531,열)(주)유어케이스이대지점(마포),주식회사유어케이스이대지점,후불)텔링크SK,박종열
S텔25282,열)(주)이루다홀딩스,㈜이루다홀딩스-지점제로,후불)텔링크SK,박종열
S텔25075,열)(주)이루다홀딩스,제로모바일,후불)텔링크SK,박종열
S텔22815,열)(주)이루다홀딩스,주식회사이루다홀딩스(원동폰),후불)텔링크SK,박종열
S텔22778,열)(주)이루다홀딩스,㈜이루다홀딩스-지점서정폰,후불)텔링크SK,박종열
S텔25483,열)(주)이루다홀딩스,㈜이루다홀딩스-(평택폰),후불)텔링크SK,박종열
S텔25568,열)(주)이루다홀딩스,㈜이루다홀딩스-지점송북폰,후불)텔링크SK,박종열
S텔25570,열)(주)이루다홀딩스,주식회사이루다홀딩스-지점,후불)텔링크SK,박종열
S텔25176,열)(주)지니모바일(위례),(주)지니모바일 위례점,후불)텔링크SK,박종열
S텔25054,열)(주)케이씨엘(성남),(주)케이씨엘,후불)텔링크SK,박종열
S텔23030,열)(주)프론티어홀딩스,주식회사 프론티어홀딩스,후불)텔링크SK,박종열
S텔24291,열)(주)프리엠(광주),주)프리엠,후불)텔링크SK,박종열
S텔24988,열)(주)핸드폰마을,(주)핸드폰마을천호점,후불)텔링크SK,박종열
